IRI,Name,Form
http://resource.geosciml.org/classifier/ics/ischart/Aalenian,Aalenien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Aeronian,Aeronien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Ages,Tijd,"timescale,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Ages,Etage,"stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Albian,Albien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Anisian,Anisien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Aptian,Aptien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Aquitanian,Aquitanien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Aquitanian,Vierland,regcorrel
http://resource.geosciml.org/classifier/ics/ischart/Archean,Archaïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Artinskian,Artinskien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Asselian,Asselien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Bajocian,Bajocien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Barremian,Barremien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Bartonian,Bartonien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Bashkirian,Bashkirien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Bathonian,Barthonien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Berriasian,Berrasien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Burdigalian,Burdigalien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Burdigalian,Hemmoor,regcorrel
http://resource.geosciml.org/classifier/ics/ischart/Calabrian,Calabrien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Callovian,Callovien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Calymmian,Calymmien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Cambrian,Cambrium,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Campanian,Campanien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Capitanian,Capitanien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Carboniferous,Carboon,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Carnian,Carnien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Cenomanian,Cenomanien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,Kenozoïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Changhsingian,Changhsingien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Chattian,Chattien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Chibanian,Chibaien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Cisuralian,Cisuralien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Coniacian,Conacien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Cretaceous,Krijt,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Cryogenian,Cryogenien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Danian,Danien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Dapingian,Dapingien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Darriwilian,Darriwilien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Devonian,Devoon,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Drumian,Drumien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Vroeg Krijt,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Onder Krijt,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Vroeg,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Onder,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,Vroeg Devoon,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,Onder Devoon,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,Vroeg,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,Onder,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerJurassic,Vroeg Jura,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerJurassic,Onder Jura,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerJurassic,Vroeg,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerJurassic,Onder,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerMississippian,Vroeg Mississipien,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerMississippian,Onder Mississipien,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerMississippian,Vroeg,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerMississippian,Onder,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerOrdovician,Vroeg Ordovicium,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerOrdovician,Onder Ordovicium,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerOrdovician,Vroeg,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerOrdovician,Onder,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerPennsylvanian,Vroeg Pennsylvanien,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerPennsylvanian,Onder Pennsylvanien,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerPennsylvanian,Vroeg,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerPennsylvanian,Onder,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerTriassic,Vroeg Trias,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerTriassic,Onder Trias,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/LowerTriassic,Vroeg,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/LowerTriassic,Onder,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Ectasian,Ectasien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Ediacaran,Ediacaran,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Eifelian,Eifelien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Emsian,Emsien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Eoarchean,Eo-archeïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Eocene,Eoceen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Eons,Eon,"timescale,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Eons,Eonotheem,"stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Epochs,Tijdvak,"timescale,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Epochs,Serie,"stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Eras,Era,"timescale,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Eras,Eratheem,"stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Famennian,Famennien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Floian,Floien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Fortunian,Fortunien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Frasnian,Frasnien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Furongian,Furongien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Gelasian,Gelasien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Gelasian,Pretiglien + Tiglien,regcorrel
http://resource.geosciml.org/classifier/ics/ischart/Givetian,Givetien,"timescale,stratigraphic,longform,shortform"
